Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Gender,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?
Anthony White (Alabama),AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,Male,-28.879999,3.4200001,No,Nonwhite,Yes,No,No,No,No,No
Christopher Countryman,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,Male,-28.879999,1.74,No,White,No,Yes,No,No,No,No
"Doug ""New Blue"" Smith",AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,Male,-28.879999,3.27,No,White,Yes,No,No,No,No,No
James C. Fields,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,Male,-28.879999,8,No,Nonwhite,Yes,No,Yes,No,No,No
Sue Bell Cobb,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,Female,-28.879999,28.98,No,White,No,No,Yes,No,No,No
Walt Maddox,AL,Governor of Alabama,Governor,Regular,6/5/18,Advanced,None,On the Ballot,Male,-28.879999,54.599998,Yes,White,No,No,Yes,No,No,No
Lizzetta Hill McConnell,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,Female,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No
Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No
Audri Scott Williams,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,Female,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No
Tabitha Isner,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-33.080002,60.439999,Yes,White,No,No,No,No,No,No
Adia McClellan Winfrey,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,Female,-33.66,34.240002,No,Nonwhite,No,No,No,No,Yes,No
Mallory Hagan,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-33.66,65.739998,Yes,White,No,No,No,No,No,No
Lee Auman,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-62.48,54.130001,Yes,White,No,No,No,No,No,No
Rick Neighbors,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,Male,-62.48,45.869999,No,White,Yes,No,No,No,No,No
Peter Joffrion,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-34.830002,100,Yes,White,No,No,No,No,No,No
Danner Kline,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-48.459999,100,Yes,White,No,No,No,No,No,No
Jared Henderson,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,On the Ballot,Male,-28.639999,63.299999,Yes,White,No,No,No,No,Yes,No
Leticia Sanders,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,None,Female,-28.639999,36.700001,No,Nonwhite,No,No,No,No,No,No
Chintan Desai,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-34.810001,100,Yes,Nonwhite,No,No,No,No,No,No
Clarke Tucker,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-13.51,57.82,Yes,White,No,No,Yes,No,No,No
Gwen Combs,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,Female,-13.51,20.299999,No,White,Yes,No,No,No,No,No
Jonathan Dunkley,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,Male,-13.51,9.3400002,No,Nonwhite,No,No,No,No,No,No
Paul Spencer,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,Male,-13.51,12.55,No,White,No,No,No,No,No,No
Joshua Mahony,AR,U.S. House Arkansas District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-34.560001,100,Yes,White,No,No,No,No,No,No
Hayden Shamel,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Female,-33.68,100,Yes,White,No,No,No,No,No,No
Brianna Westbrook,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,Female,-24.559999,39.720001,No,White,No,Yes,No,No,No,No
Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,Female,-24.559999,60.220001,Yes,Nonwhite,No,No,No,No,Yes,No
Akinyemi Agbede,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Male,25.83,0.22,No,Nonwhite,No,No,No,No,Yes,No
Albert Caesar Mezzetti,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Male,25.83,0.28,No,White,Yes,No,Yes,No,No,No
Amanda Renteria,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Female,25.83,2.1500001,No,Nonwhite,No,No,No,No,No,No
Antonio Villaraigosa,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Male,25.83,21.290001,No,Nonwhite,No,No,Yes,No,No,No
Delaine Eastin,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Female,25.83,5.4000001,No,White,No,No,Yes,No,No,No
Gavin Newsom,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,Male,25.83,53.869999,Yes,White,No,No,Yes,No,No,No
John Chiang,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Male,25.83,15.08,No,Nonwhite,No,No,Yes,No,Yes,No
Juan Bribiesca,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Male,25.83,0.40000001,No,Nonwhite,No,No,No,No,Yes,No
Klement Tinaj,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Male,25.83,0.12,No,Nonwhite,No,No,No,No,No,No
Michael Shellenberger,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Male,25.83,0.73000002,No,White,No,No,No,No,No,No
Robert Davidson Griffis,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Male,25.83,0.25999999,No,White,No,No,No,No,No,No
Thomas Jefferson Cares,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,Male,25.83,0.20999999,No,White,No,No,No,No,Yes,No
Audrey Denney,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-21.379999,43.650002,Yes,White,No,No,No,No,No,No
David Peterson,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,Male,-21.379999,7.3000002,No,White,No,No,No,No,No,No
Jessica Holcombe,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,Female,-21.379999,28.540001,No,White,No,No,No,No,No,No
Marty Walters,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,Female,-21.379999,20.51,No,White,No,No,No,No,No,No
Dotty Nygard,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,Female,0.62,1.89,No,White,No,No,No,No,Yes,No
Josh Harder,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,0.62,35.57,Yes,White,No,No,No,No,Yes,No
Michael Eggman,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,Male,0.62,21.34,No,White,No,No,No,No,No,No
Mike Barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,Male,0.62,4.98,No,White,Yes,No,No,No,Yes,No
Sue Zwahlen,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,Female,0.62,17.049999,No,White,No,No,Yes,No,Yes,No
Virginia Madueno,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,Female,0.62,19.17,No,Nonwhite,No,No,Yes,No,No,No
TJ Cox,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,11.87,100,Yes,Nonwhite,No,No,No,No,Yes,No
Andrew Janz,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-13.41,78.830002,Yes,Nonwhite,No,No,No,No,No,No
Bobby Bliatout,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,Male,-13.41,12.26,No,Nonwhite,No,No,No,No,No,No
Ricardo Franco,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,Male,-13.41,8.9099998,No,Nonwhite,No,No,No,No,Yes,No
Kurtis Wilson,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,Male,-25.379999,4.8400002,No,Nonwhite,No,No,No,No,No,No
Mary Helen Barro,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,Female,-25.379999,18.200001,No,Nonwhite,No,No,No,No,No,No
Tatiana Matta,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-25.379999,42.720001,Yes,Nonwhite,No,No,No,No,No,No
Wendy Reed,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,Female,-25.379999,34.25,No,White,No,No,No,No,No,No
Bryan Caforio,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,Male,2.02,38.259998,No,White,No,No,No,No,No,No
Jess Phoenix,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,Female,2.02,13.24,No,White,No,No,No,No,Yes,No
Katie Hill,CA,U.S. House California District 25,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,2.02,42.970001,Yes,White,No,Yes,No,No,No,No
Mary Pallant,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,Female,2.02,5.54,No,White,No,No,No,No,No,No
Andy Thorburn,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,Male,2.99,20.440001,No,White,No,No,No,Yes,No,No
Gil Cisneros,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,2.99,43.23,Yes,Nonwhite,Yes,No,No,Yes,No,No
Herbert Lee,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,Male,2.99,9.4200001,No,Nonwhite,No,No,No,Yes,Yes,No
Mai Khanh Tran,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,Female,2.99,11.69,No,Nonwhite,No,No,No,Yes,Yes,No
Sam Jammal,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,Male,2.99,11.98,No,Nonwhite,No,No,No,No,No,Yes
Suzi Park Leggett,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,Female,2.99,3.24,No,Nonwhite,No,No,No,No,No,No
Jessica Morse,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-18.16,49.099998,Yes,White,No,No,No,No,No,No
Regina Bateson,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,Female,-18.16,30.07,No,White,No,No,No,No,No,No
Robert Lawton,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,Male,-18.16,5.25,No,White,No,No,No,No,No,No
Roza Calderon,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,Female,-18.16,15.57,No,Nonwhite,No,No,No,No,Yes,No
Julia Peacock,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-15.31,76.019997,Yes,White,No,No,No,No,No,No
Norman Quintero,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,None,Male,-15.31,23.98,No,Nonwhite,No,No,No,No,No,No
Brian Forde,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,Male,-1.4299999,13.06,No,White,No,No,No,No,Yes,Yes
Dave Min,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,Male,-1.4299999,38.740002,No,Nonwhite,No,No,No,No,No,No
Katie Porter,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-1.4299999,44.040001,Yes,White,No,No,No,No,No,No
Kia Hamadanchy,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,Male,-1.4299999,4.1500001,No,Nonwhite,No,No,No,No,No,No
Deanie Schaarsmith,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,Female,-4.1799998,1.79,No,White,No,No,No,No,No,No
Hans Keirstead,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,Male,-4.1799998,37.439999,No,White,No,No,No,Yes,Yes,No
Harley Rouda,CA,U.S. House California District 48,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-4.1799998,37.599998,Yes,White,No,No,No,Yes,No,No
Laura Oatman,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,Female,-4.1799998,3.01,No,White,No,No,No,No,Yes,No
Michael Kotick,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,Male,-4.1799998,3.26,No,White,No,No,No,No,No,No
Omar Siddiqui,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,Male,-4.1799998,10.81,No,Nonwhite,No,No,No,Yes,Yes,No
Rachel Payne,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,Female,-4.1799998,4.4899998,No,White,No,No,No,No,Yes,No
Tony Zarkades,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,Male,-4.1799998,1.6,No,White,Yes,No,No,No,Yes,No
Douglas Applegate,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,Male,1.42,25.76,No,White,Yes,No,No,No,No,No
Mike Levin,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,1.42,34.400002,Yes,White,No,No,No,No,No,No
Paul Kerr,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,Male,1.42,8.75,No,White,Yes,No,No,Yes,No,No
Sara Jacobs,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,Female,1.42,31.09,No,White,No,No,No,Yes,No,Yes
Ammar Campa-Najjar,CA,U.S. House California District 50,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-19.48,48.360001,Yes,Nonwhite,No,No,No,No,No,Yes
Josh Butner,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,None,Male,-19.48,35.509998,No,White,Yes,No,No,No,No,No
Patrick Malloy,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,None,Male,-19.48,16.129999,No,White,No,No,No,No,No,No
Marge Doyle,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,None,Female,-17.33,59.610001,,White,No,Yes,No,No,Yes,No
Rita Ramirez,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,None,Female,-17.33,27.67,,Nonwhite,No,No,No,No,No,No
Ronald O'Donnell,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,None,Male,-17.33,12.71,,White,No,No,No,No,No,No
Cary Kennedy,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,Female,2.49,24.719999,No,White,No,No,Yes,No,No,No
Donna Lynne,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,Female,2.49,7.2800002,No,White,No,No,Yes,No,No,No
Jared Polis,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,None,On the Ballot,Male,2.49,44.43,Yes,White,No,Yes,Yes,Yes,No,No
Michael Johnston,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,Male,2.49,23.57,No,White,No,No,Yes,No,No,Yes
Joe Neguse,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,18.040001,65.82,Yes,Nonwhite,No,No,No,No,No,No
Mark Williams,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Lost,None,None,Male,18.040001,34.18,No,Nonwhite,Yes,No,No,No,No,No
Arn Menconi,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,None,Male,-13.03,8.2200003,No,White,No,No,No,No,No,No
Diane Mitsch Bush,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Female,-13.03,64.099998,Yes,White,No,No,Yes,No,No,No
Karl Hanlon,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,None,Male,-13.03,27.68,No,White,No,No,No,No,No,No
Chase Kohne,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Lost,None,None,Male,-24.68,35.32,No,White,Yes,No,No,No,Yes,No
Karen McCormick,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Female,-24.68,64.629997,Yes,White,No,No,No,No,Yes,No
Stephany Rose Spaulding,CO,U.S. House Colorado District 5,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Female,-25.73,100,Yes,Nonwhite,No,No,No,No,No,No
Jason Crow,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,5.4200001,65.940002,Yes,White,Yes,No,No,No,No,No
Levi Tillemann,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Lost,None,None,Male,5.4200001,34.060001,No,White,No,No,No,No,Yes,Yes
Stacey Abrams,GA,Governor of Georgia,Governor,Regular,5/22/18,Advanced,None,On the Ballot,Female,-8.3400002,76.440002,Yes,Nonwhite,No,No,Yes,No,No,No
Stacey Evans,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,None,None,Female,-8.3400002,23.559999,No,White,No,No,No,Yes,No,No
Barbara Seidman,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Lost,None,None,Female,-17.379999,32.459999,No,Nonwhite,No,No,No,No,No,No
Lisa Ring,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Female,-17.379999,67.540001,Yes,White,No,No,No,No,No,No
Chalis Montgomery,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,None,None,Female,-28.209999,26.459999,No,White,No,No,No,No,No,No
Richard Dien Winfield,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,None,None,Male,-28.209999,23.33,No,White,No,No,No,No,No,No
Tabitha Johnson-Green,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Female,-28.209999,50.200001,Yes,White,No,No,No,No,Yes,No
Flynn Broady Jr.,GA,U.S. House Georgia District 11,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-30.129999,100,Yes,Nonwhite,Yes,No,No,No,No,No
Francys Johnson,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-17.629999,52.860001,Yes,Nonwhite,No,No,No,No,No,No
Robert Ingham,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Lost,None,None,Male,-17.629999,31.15,No,White,No,No,No,No,No,No
Trent Nesmith,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Lost,None,None,Male,-17.629999,15.99,No,White,No,No,No,No,No,No
Steven Foster,GA,U.S. House Georgia District 14,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-54.18,100,Yes,White,No,No,No,No,Yes,No
Chuck Enderlin,GA,U.S. House Georgia District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-34.380001,59.869999,Yes,White,Yes,No,No,No,No,No
Rusty Oliver,GA,U.S. House Georgia District 3,Representative,Regular,5/22/18,Lost,None,None,Male,-34.380001,40.130001,No,White,No,No,No,No,No,No
Bobby Kaple,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,None,None,Male,-9.4799995,26.25,No,White,No,No,No,No,No,No
Kevin Abel,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Advanced,Lost,None,Male,-9.4799995,30.540001,No,White,No,No,No,No,Yes,No
Lucy McBath,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Advanced,Advanced,On the Ballot,Female,-9.4799995,36.27,Yes,Nonwhite,No,No,No,No,Yes,No
Steven Knight Griffin,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,None,None,Male,-9.4799995,6.9499998,No,White,No,No,No,No,No,No
Carolyn Bourdeaux,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Advanced,On the Ballot,Female,-12.73,27.280001,Yes,White,No,No,No,No,No,No
David Kim,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Lost,None,Male,-12.73,25.98,No,Nonwhite,No,No,No,Yes,No,No
Ethan Pham,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,Male,-12.73,17.84,No,Nonwhite,No,No,No,No,No,No
Kathleen Allen,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,Female,-12.73,11.02,No,White,No,No,No,No,No,No
Melissa Davis,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,Female,-12.73,13.67,No,Nonwhite,No,No,No,No,No,No
Steve Reilly,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,Male,-12.73,4.1999998,No,White,Yes,No,No,No,No,No
Dave Cooper,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Lost,None,None,Male,-60.810001,47.27,No,White,Yes,No,No,No,No,No
Josh McCall,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-60.810001,52.73,Yes,White,No,No,No,No,No,No
Andy McGuire,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,Female,-8.1400003,5.25,No,White,No,No,No,No,Yes,No
Cathy Glasson,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,Female,-8.1400003,20.549999,No,White,No,No,No,No,Yes,No
